date,Dire Straits,Eric Clapton,Mazzy Star,Neil Young,Oasis,Olivia Ong,Buster Keaton,Luis Bunuel,The Beatles,Fritz Lang,王家卫,Wes Anderson,Agatha Christie,The Stone Roses,Satoshi Kon,杨德昌,Billy Wilder,Woody Allen,Quentin Tarantino,Akira Kurosawa,Francois Truffaut,Jean-Luc Godard,Aki Kaurismaki,Teenage Fanclub,李洪绸,落日飞车,Cigarettes After Sex,Summer Salt,Douglas Adams,Italo Calvino
2022-04-27,0,0,0,0,0,0,9,16,0,5,34,35,14,0,27,34,10,32,34,35,7,28,2,0,4,0,0,0,1,20
2022-04-28,0,0,0,0,1,1,9,9,0,2,29,32,19,0,24,35,22,35,34,35,14,22,9,0,6,0,0,0,0,11
2022-04-29,0,0,0,2,0,0,6,11,0,5,35,35,25,0,32,32,11,35,35,35,13,26,11,0,0,0,0,0,0,12
2022-04-30,0,0,0,0,1,0,13,13,1,5,35,35,28,0,35,35,13,35,35,35,15,16,7,0,14,0,0,0,1,13
2022-05-01,0,0,0,0,0,0,9,7,0,3,35,35,25,0,25,35,23,35,35,35,11,25,10,0,0,0,0,0,0,23
2022-05-02,0,0,0,0,0,0,7,12,0,3,35,35,26,0,26,28,23,35,35,34,25,17,8,0,15,0,0,0,1,24
2022-05-03,0,0,0,0,0,0,12,8,1,2,35,35,23,0,32,31,15,70,34,33,16,25,15,0,5,0,0,0,2,15
2022-05-04,0,0,0,0,0,0,11,8,1,4,35,35,23,0,13,30,25,55,35,35,20,25,7,0,4,0,0,0,0,18
2022-05-05,0,0,0,0,0,0,13,9,1,3,35,35,27,0,35,35,15,35,35,23,18,20,10,0,0,0,0,0,0,13
2022-05-06,0,0,0,0,1,0,14,9,2,6,34,35,15,0,31,24,13,58,63,33,11,19,9,0,15,0,0,0,0,22
2022-05-07,0,0,0,0,0,0,10,10,1,4,34,105,14,0,29,32,21,70,35,35,11,27,6,0,35,0,0,0,1,8
2022-05-08,0,0,0,0,0,0,7,11,1,3,34,35,16,0,35,35,17,35,48,35,13,21,6,0,69,0,0,0,1,11
2022-05-09,0,0,0,0,0,0,6,3,1,7,35,54,17,0,24,28,22,50,43,28,10,29,3,0,35,0,0,0,0,14
2022-05-10,0,0,0,0,0,1,17,14,1,5,35,35,21,0,20,16,13,55,58,32,10,29,7,0,24,0,0,0,0,27
2022-05-11,0,0,0,0,0,0,16,14,1,1,35,57,17,0,26,34,13,51,35,48,10,25,9,0,16,0,0,0,0,11
2022-05-12,0,0,4,0,0,0,3,7,0,3,34,43,15,0,34,28,15,35,41,34,7,21,11,0,18,0,0,0,0,17
2022-05-13,0,0,0,0,0,0,10,20,0,7,35,45,21,0,27,35,14,48,40,35,18,28,12,0,35,0,0,0,0,21
2022-05-14,0,0,0,0,1,0,6,14,0,1,35,43,26,0,35,35,16,58,70,48,10,23,8,0,51,0,0,0,3,13
2022-05-15,0,0,0,0,0,0,7,12,1,3,35,56,28,0,27,35,17,54,65,45,20,30,8,0,39,0,0,0,1,17
2022-05-16,0,0,0,0,0,0,5,9,0,5,35,35,16,0,25,35,16,33,47,32,21,15,11,0,23,0,0,0,2,11
2022-05-17,0,0,0,0,2,0,5,11,0,3,34,34,16,0,35,34,16,33,34,34,20,19,8,0,18,0,0,0,2,9
2022-05-18,0,0,0,0,0,0,7,10,1,3,34,26,14,0,30,34,8,41,33,35,13,25,3,0,24,0,0,0,1,19
2022-05-19,0,0,0,0,1,0,7,9,3,3,33,28,17,0,30,23,16,28,52,35,7,14,9,0,21,0,0,0,0,19
2022-05-20,0,0,0,0,0,0,4,6,0,1,41,22,10,0,34,29,17,35,41,35,11,20,5,0,15,0,0,0,1,13
2022-05-21,0,0,0,0,0,0,5,12,0,3,41,43,15,0,28,35,13,51,46,39,20,26,16,0,23,0,0,0,0,13
2022-05-22,0,0,0,0,0,0,6,10,0,4,35,44,15,0,30,28,12,45,42,35,12,10,8,0,14,0,0,0,0,18
2022-05-23,0,0,0,0,2,0,5,7,2,2,34,59,9,0,24,28,13,33,31,42,13,15,6,0,17,0,0,0,0,19
2022-05-24,0,0,0,0,1,0,7,10,2,5,39,34,15,3,29,25,13,35,0,31,8,15,6,0,12,0,0,0,1,14
2022-05-25,0,0,0,0,0,0,6,12,1,4,33,33,18,0,28,35,13,32,82,39,15,14,9,0,13,1,0,0,0,13
2022-05-26,0,0,0,0,0,0,6,5,0,2,34,34,19,0,32,30,8,34,45,53,12,23,5,0,16,0,1,0,0,14
2022-05-27,0,0,0,0,0,0,11,11,0,6,35,35,15,0,32,33,19,35,35,24,17,27,6,0,8,0,0,0,2,17
2022-05-28,0,0,0,0,0,0,5,11,1,4,43,35,15,0,33,35,19,35,53,34,16,21,28,0,22,0,0,0,1,7
2022-05-29,0,0,0,0,0,0,8,11,0,4,57,38,18,0,29,34,31,30,35,52,9,27,35,0,15,0,0,0,1,8
2022-05-30,0,0,0,0,0,0,7,10,0,4,48,23,12,0,24,34,31,35,34,38,8,19,2,0,7,0,0,0,0,4
2022-05-31,0,0,0,0,0,0,6,9,1,2,47,28,16,1,22,21,16,29,40,26,15,25,6,0,11,0,0,0,0,8
2022-06-01,0,0,0,0,0,0,8,11,0,2,30,18,16,0,22,32,10,29,35,32,11,18,5,0,12,0,0,0,0,12
2022-06-02,0,0,0,0,1,0,2,4,0,6,35,28,13,0,26,18,10,24,34,31,8,13,0,0,9,0,0,0,1,10
2022-06-03,0,0,0,0,0,0,6,11,0,4,34,22,14,0,12,34,13,35,44,38,16,24,16,0,13,0,0,0,3,14
2022-06-04,0,0,0,0,0,0,4,15,0,5,54,23,16,0,31,33,17,41,56,27,13,15,7,0,11,0,0,0,4,12
2022-06-05,0,0,0,1,0,0,11,12,2,4,47,24,14,0,34,34,16,35,45,35,17,20,0,0,14,0,0,0,2,12
2022-06-06,0,0,0,0,0,0,4,10,1,10,42,29,16,0,34,30,13,45,27,19,12,25,11,0,12,0,0,0,1,13
2022-06-07,0,0,0,0,0,0,5,12,0,4,42,0,13,0,35,35,18,24,34,22,9,17,6,0,8,0,0,0,2,6
