date,哈罗德·劳埃德,查理·卓别林,雅克·塔蒂,巴斯特·基顿,路易斯·布努埃尔,弗里茨·朗,王家卫,韦斯·安德森,阿加莎·克里斯蒂,今敏,杨德昌,比利·怀尔德,伍迪·艾伦,昆汀·塔伦蒂诺,黑泽明,弗朗索瓦·特吕弗,让-吕克·戈达尔,阿基·考里斯马基,李洪绸
2022-08-07,0,0,0,10,5,3,21,26,24,35,26,21,33,47,26,16,21,10,0
2022-08-08,0,0,0,6,17,2,34,24,11,28,19,15,23,54,22,19,17,6,9
2022-08-09,0,0,0,9,11,0,28,24,17,20,29,22,19,35,21,25,14,5,4
2022-08-10,0,0,0,7,12,1,28,26,26,28,31,10,21,27,19,16,17,5,6
2022-08-11,0,0,0,12,15,5,51,23,30,31,31,10,23,35,17,15,17,4,3
2022-08-12,0,0,0,8,10,2,28,32,21,30,19,17,31,34,22,14,19,13,1
2022-08-13,0,0,0,5,13,3,31,24,22,31,23,14,35,48,27,19,16,8,9
2022-08-14,0,0,0,11,17,4,51,22,22,35,25,10,25,49,35,16,12,8,1
2022-08-15,0,0,0,9,9,4,35,27,16,30,22,8,26,35,30,14,14,14,0
2022-08-16,0,0,0,15,12,3,0,24,15,34,29,19,0,0,21,9,15,4,3
2022-08-17,0,0,0,6,12,8,84,0,21,12,21,16,62,70,21,25,14,6,1
2022-08-18,0,0,0,13,13,8,0,55,11,0,21,16,0,0,29,26,18,10,1
2022-08-19,0,0,0,8,12,2,58,0,19,50,21,12,35,67,0,27,14,5,4
2022-08-20,0,0,0,11,21,2,32,35,18,53,23,12,26,0,35,26,15,8,1
2022-08-21,0,0,0,11,11,5,0,24,22,42,23,11,0,82,32,35,25,6,4
2022-08-22,0,0,0,11,4,2,60,0,19,28,18,12,64,0,25,32,17,12,1
2022-08-23,0,0,0,4,6,5,34,35,21,55,32,10,0,70,27,17,20,12,3
2022-08-24,0,0,0,8,8,2,30,17,18,35,28,13,50,42,15,13,20,35,0
2022-08-25,0,0,0,7,11,8,44,17,14,26,33,12,24,28,26,16,14,0,5
2022-08-26,0,0,0,7,5,1,25,24,24,26,27,13,24,29,21,21,16,34,1
2022-08-27,0,0,0,11,7,4,34,23,21,34,22,22,27,33,25,15,15,9,4
2022-08-28,0,0,0,4,8,3,35,29,19,33,23,17,34,0,24,12,17,16,3
2022-08-29,0,0,0,5,12,1,33,17,18,22,22,16,15,79,16,24,22,10,3
2022-08-30,0,0,0,6,19,5,29,17,17,32,24,11,0,0,22,12,19,6,6
2022-08-31,0,0,0,12,7,4,34,15,25,27,25,9,35,63,18,14,20,11,1
2022-09-01,0,0,0,7,5,1,20,17,17,26,23,18,19,21,22,12,23,8,0
2022-09-02,0,0,0,8,8,2,29,17,25,26,22,16,30,34,18,11,14,6,5
2022-09-03,0,0,0,6,12,3,0,0,19,34,28,27,0,0,23,20,20,7,2
2022-09-04,0,0,0,4,7,1,58,35,19,0,35,22,80,87,23,12,13,11,4
2022-09-05,0,0,0,6,4,2,35,26,14,59,28,16,24,35,20,7,14,20,3
2022-09-06,0,0,0,4,6,1,22,18,12,21,18,13,10,24,22,9,15,17,3
2022-09-07,0,0,0,10,7,4,0,0,23,0,23,13,0,0,35,14,13,11,5
2022-09-08,0,0,0,7,5,2,48,32,20,35,19,9,35,35,0,14,18,9,0
2022-09-09,0,0,0,5,8,1,29,16,18,18,25,14,19,0,35,13,28,6,4
2022-09-10,0,0,0,4,10,3,29,24,22,34,24,11,26,64,24,13,21,10,1
2022-09-11,0,0,0,3,3,3,19,19,18,29,24,16,21,34,12,8,15,5,4
2022-09-12,0,0,0,5,7,1,35,19,22,30,15,15,27,53,17,17,12,11,4
2022-09-13,0,0,0,9,14,3,33,21,13,30,17,13,32,0,26,0,0,10,1
2022-09-14,0,0,0,7,17,4,35,13,11,18,35,11,0,62,31,62,0,5,2
